Review_ID,Customer_Review,Cleaned_Review,Predicted_Sentiment,Confidence_Score
127,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
128,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
129,"Nice appearance, however the product stopped working quickly.","Nice appearance, however the product stopped working quickly.",NEGATIVE,0.998
130,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
131,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
132,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
133,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
134,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
135,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
136,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
137,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
138,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
139,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
140,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
141,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
142,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
143,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
144,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
145,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
146,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
147,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
148,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
149,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
150,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
151,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
152,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
153,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
154,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
155,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
156,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
157,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
158,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
159,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
160,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
161,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
162,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
163,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
164,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
165,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
166,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
167,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
168,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
169,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
170,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
171,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
172,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
173,Great packaging but poor product quality.,Great packaging but poor product quality.,NEUTRAL,0.9905
174,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
175,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
176,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
177,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
178,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
179,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
180,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
181,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
182,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
183,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
184,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
185,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
186,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
187,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
188,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
189,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
190,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
191,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
192,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
193,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
194,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
195,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
196,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
197,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
198,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
199,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
200,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
201,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
202,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
203,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
204,Great packaging but poor product quality.,Great packaging but poor product quality.,NEUTRAL,0.9905
205,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
206,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
207,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
208,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
209,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
210,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
211,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
212,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
213,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
214,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
215,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
216,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
217,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
218,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
219,Great packaging but poor product quality.,Great packaging but poor product quality.,NEUTRAL,0.9905
220,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
221,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
222,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
223,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
224,"Nice appearance, however the product stopped working quickly.","Nice appearance, however the product stopped working quickly.",NEGATIVE,0.998
225,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
226,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
227,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
228,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
229,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
230,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
231,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
232,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
233,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
234,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
235,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
236,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
237,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
238,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
239,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
240,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
241,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
242,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
243,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
244,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
245,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
246,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
247,"Nice appearance, however the product stopped working quickly.","Nice appearance, however the product stopped working quickly.",NEGATIVE,0.998
248,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
249,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
250,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
251,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
252,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
253,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
254,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
255,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
256,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
257,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
258,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
259,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
260,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
261,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
262,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
263,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
264,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
265,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
266,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
267,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
268,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
269,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
270,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
271,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
272,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
273,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
274,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
275,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
276,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
277,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
278,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
279,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
280,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
281,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
282,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
283,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
284,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
285,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
286,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
287,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
288,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
289,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
290,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
291,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
292,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
293,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
294,Great packaging but poor product quality.,Great packaging but poor product quality.,NEUTRAL,0.9905
295,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
296,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
297,Great packaging but poor product quality.,Great packaging but poor product quality.,NEUTRAL,0.9905
